 id  ,         app         ,                                                   name                                                    ,            applied            
-----+---------------------+-----------------------------------------------------------------------------------------------------------+-------------------------------
  57 , core                , 0001_create                                                                                               , 2018-04-09 18:02:06.141095+00
  58 , core                , 0002_auto_20180307_1748                                                                                   , 2018-04-09 18:02:06.176326+00
 140 , export_readiness    , 0001_initial                                                                                              , 2018-04-17 15:40:14.08916+00
 141 , export_readiness    , 0002_auto_20180410_1038                                                                                   , 2018-04-17 15:40:14.12605+00
 142 , export_readiness    , 0003_exportreadinessapp                                                                                   , 2018-04-17 15:40:14.281042+00
 151 , core                , 0003_auto_20180423_1122                                                                                   , 2018-05-03 10:28:11.230955+00
 152 , core                , 0004_auto_20180423_1619                                                                                   , 2018-05-03 10:28:11.354577+00
 153 , core                , 0005_auto_20180423_1803                                                                                   , 2018-05-03 10:28:11.505223+00
 154 , export_readiness    , 0004_auto_20180423_1142                                                                                   , 2018-05-03 10:28:13.175195+00
 155 , export_readiness    , 0005_auto_20180426_1521                                                                                   , 2018-05-03 10:28:13.295916+00
 156 , export_readiness    , 0006_auto_20180427_1518                                                                                   , 2018-05-03 10:28:13.646941+00
 170 , core                , 0006_auto_20180508_1331                                                                                   , 2018-05-16 15:16:47.345039+00
 177 , export_readiness    , 0007_getfinancepage                                                                                       , 2018-05-24 11:50:03.135456+00
 179 , export_readiness    , 0008_performancedashboardpage                                                                             , 2018-06-26 16:14:53.770478+00
 180 , export_readiness    , 0009_performancedashboardpage_guidance_notes                                                              , 2018-06-26 16:14:53.848942+00
 181 , export_readiness    , 0010_performancedashboardnotespage                                                                        , 2018-06-26 16:14:53.953801+00
 206 , export_readiness    , 0011_auto_20180817_1630                                                                                   , 2018-09-13 09:52:52.686573+00
 207 , export_readiness    , 0012_auto_20180821_0810                                                                                   , 2018-09-13 09:52:53.752917+00
 208 , core                , 0007_auto_20180809_1215                                                                                   , 2018-09-13 09:52:54.318826+00
 209 , core                , 0008_auto_20180809_1215                                                                                   , 2018-09-13 09:52:54.518086+00
 210 , core                , 0009_auto_20180813_1746                                                                                   , 2018-09-13 09:52:54.716817+00
 211 , core                , 0010_auto_20180815_1304                                                                                   , 2018-09-13 09:52:55.296778+00
 212 , core                , 0011_auto_20180817_1631                                                                                   , 2018-09-13 09:52:55.877748+00
 213 , core                , 0012_auto_20180821_1634                                                                                   , 2018-09-13 09:52:56.420549+00
 214 , core                , 0013_auto_20180821_1637                                                                                   , 2018-09-13 09:52:56.627751+00
 215 , core                , 0014_auto_20180822_0915                                                                                   , 2018-09-13 09:52:57.083826+00
 216 , core                , 0015_breadcrumb                                                                                           , 2018-09-13 09:52:57.528491+00
 217 , core                , 0016_auto_20180823_2014                                                                                   , 2018-09-13 09:52:57.695707+00
 218 , core                , 0017_auto_20180823_1545                                                                                   , 2018-09-13 09:52:58.182706+00
 220 , export_readiness    , 0013_exportreadinessapp_service_name                                                                      , 2018-09-13 09:52:58.28169+00
 221 , core                , 0015_auto_20180822_1456                                                                                   , 2018-09-13 09:52:58.602366+00
 222 , core                , 0018_merge_20180829_0828                                                                                  , 2018-09-13 09:52:58.607377+00
 223 , core                , 0018_auto_20180824_1622                                                                                   , 2018-09-13 09:52:58.647942+00
 224 , core                , 0019_merge_20180829_0939                                                                                  , 2018-09-13 09:52:58.654548+00
 229 , export_readiness    , 0014_auto_20180829_1027                                                                                   , 2018-09-13 09:53:00.447437+00
 230 , export_readiness    , 0015_auto_20180830_0632                                                                                   , 2018-09-13 09:53:00.66137+00
 231 , export_readiness    , 0016_auto_20180905_1020                                                                                   , 2018-09-13 09:53:01.138148+00
